對獎日期,開獎號碼,預測開獎號碼範圍,對中的號碼數量,對中的號碼
['2020/9/22'],[17 20 23 24 39],"[32, 25, 5, 11, 2, 24, 20, 26, 39, 7]",3,"{24, 20, 39}"
['2020/9/23'],[ 6 12 17 32 36],"[13, 23, 11, 30, 27, 36, 32, 25, 5, 4]",2,"{32, 36}"
['2020/9/24'],[ 5 10 15 24 27],"[10, 25, 31, 12, 26, 34, 37, 17, 2, 18]",1,{10}
['2020/9/25'],[ 1  9 14 17 18],"[29, 33, 14, 31, 5, 17, 23, 8, 28, 2]",2,"{17, 14}"
['2020/9/26'],[22 24 27 29 34],"[28, 2, 36, 32, 24, 5, 8, 38, 11, 6]",1,{24}
['2020/9/28'],[ 7 20 26 27 30],"[15, 20, 18, 35, 5, 37, 22, 2, 19, 31]",1,{20}
['2020/9/29'],[ 6 20 22 30 36],"[13, 27, 31, 8, 6, 30, 17, 34, 9, 28]",2,"{6, 30}"
['2020/9/30'],[21 27 28 34 37],"[16, 13, 39, 23, 34, 21, 36, 33, 32, 22]",2,"{34, 21}"
['2020/10/1'],[ 1  6 21 35 36],"[15, 17, 32, 22, 2, 16, 24, 31, 39, 37]",0,
['2020/10/2'],[17 18 20 24 34],"[15, 17, 6, 28, 16, 24, 7, 8, 22, 12]",2,"{24, 17}"
['2020/10/3'],[ 7 15 20 30 37],"[27, 24, 22, 28, 37, 5, 4, 8, 10, 17]",1,{37}
['2020/10/5'],[ 6 20 22 27 35],"[30, 31, 19, 15, 23, 36, 10, 1, 28, 25]",0,
['2020/10/6'],[ 6 20 25 32 37],"[28, 35, 34, 19, 12, 30, 25, 3, 24, 14]",1,{25}
['2020/10/7'],[ 5  9 13 21 34],"[39, 9, 8, 22, 11, 28, 13, 27, 6, 14]",2,"{9, 13}"
['2020/10/8'],[ 3  8 11 19 38],"[26, 5, 18, 21, 4, 7, 37, 36, 35, 1]",0,
['2020/10/9'],[13 16 25 26 31],"[37, 5, 24, 18, 14, 27, 12, 11, 15, 2]",0,
['2020/10/10'],[ 4  8 23 24 34],"[23, 5, 26, 4, 25, 3, 19, 31, 36, 30]",2,"{4, 23}"
['2020/10/12'],[ 6 22 24 29 33],"[38, 30, 12, 18, 27, 25, 28, 31, 13, 34]",0,
['2020/10/13'],[ 4  8 17 26 30],"[17, 11, 22, 7, 5, 30, 8, 1, 27, 16]",3,"{8, 17, 30}"
['2020/10/14'],[ 1  9 33 34 39],"[18, 21, 37, 3, 4, 34, 14, 1, 15, 35]",2,"{1, 34}"
['2020/10/15'],[ 8 14 18 20 23],"[21, 10, 22, 4, 29, 34, 13, 14, 12, 33]",1,{14}
['2020/10/16'],[22 26 32 33 38],"[30, 16, 32, 38, 24, 35, 10, 15, 26, 19]",3,"{32, 26, 38}"
['2020/10/17'],[18 20 21 24 25],"[32, 4, 1, 2, 10, 15, 34, 20, 27, 11]",1,{20}
['2020/10/19'],[ 4  6 16 23 36],"[19, 15, 33, 35, 16, 30, 29, 39, 32, 14]",1,{16}
['2020/10/20'],[ 1 10 23 27 36],"[20, 37, 5, 33, 21, 17, 4, 11, 10, 36]",2,"{10, 36}"
['2020/10/21'],[ 2 14 20 22 29],"[31, 21, 33, 10, 5, 7, 14, 17, 25, 39]",1,{14}
['2020/10/22'],[ 1  9 11 27 31],"[33, 30, 23, 2, 4, 16, 1, 39, 20, 11]",2,"{1, 11}"
['2020/10/23'],[ 2  3 20 21 34],"[3, 23, 16, 15, 8, 7, 12, 9, 30, 31]",1,{3}
['2020/10/24'],[ 9 10 15 27 32],"[24, 26, 4, 29, 22, 23, 34, 28, 6, 19]",0,
['2020/10/26'],[ 3  9 14 26 33],"[24, 18, 23, 15, 16, 12, 17, 33, 35, 8]",1,{33}
['2020/10/27'],[ 8 18 23 24 31],"[35, 38, 31, 6, 14, 20, 26, 5, 4, 28]",1,{31}
['2020/10/28'],[13 20 26 37 38],"[28, 33, 34, 27, 21, 19, 17, 37, 35, 4]",1,{37}
['2020/10/29'],[ 4 23 25 35 38],"[11, 27, 34, 10, 36, 5, 26, 38, 1, 29]",1,{38}
['2020/10/30'],[ 3  9 24 35 38],"[31, 21, 10, 35, 25, 14, 30, 4, 6, 37]",1,{35}
['2020/10/31'],[ 6  7  9 21 32],"[35, 4, 38, 13, 14, 21, 26, 16, 1, 30]",1,{21}
['2020/11/2'],[12 29 31 36 39],"[13, 26, 1, 33, 37, 16, 34, 7, 35, 32]",0,
['2020/11/3'],[ 4 17 24 25 28],"[20, 25, 19, 2, 1, 21, 33, 8, 35, 16]",1,{25}
['2020/11/4'],[ 2 12 17 34 38],"[4, 11, 28, 8, 35, 26, 31, 18, 25, 2]",1,{2}
['2020/11/5'],[19 20 25 30 37],"[34, 35, 31, 9, 13, 14, 7, 29, 15, 19]",1,{19}
['2020/11/6'],[ 1  4  7  8 39],"[3, 6, 13, 4, 20, 1, 29, 10, 19, 15]",2,"{1, 4}"
['2020/11/7'],[ 4  8 21 24 26],"[22, 33, 25, 14, 34, 4, 29, 36, 6, 13]",1,{4}
['2020/11/9'],[ 6  8 17 24 38],"[16, 38, 11, 22, 23, 21, 2, 5, 18, 12]",1,{38}
['2020/11/10'],[ 5 19 26 28 29],"[1, 2, 28, 21, 35, 12, 33, 34, 29, 3]",2,"{28, 29}"
['2020/11/11'],[22 31 35 38 39],"[38, 25, 3, 21, 11, 20, 6, 33, 24, 32]",1,{38}
['2020/11/12'],[ 4 18 27 29 39],"[2, 39, 6, 12, 3, 4, 25, 9, 30, 35]",2,"{4, 39}"
['2020/11/13'],[ 1  7 11 24 39],"[37, 29, 6, 39, 30, 26, 31, 4, 15, 32]",1,{39}
['2020/11/14'],[ 2  3  7 30 36],"[3, 33, 10, 12, 37, 17, 39, 9, 19, 22]",1,{3}
['2020/11/16'],[10 11 13 23 38],"[11, 34, 14, 19, 39, 6, 16, 37, 10, 13]",3,"{10, 11, 13}"
['2020/11/17'],[11 14 17 19 24],"[4, 7, 37, 27, 1, 33, 22, 32, 29, 38]",0,
['2020/11/18'],[ 1  7 15 17 18],"[31, 12, 22, 39, 19, 6, 16, 36, 4, 26]",0,
['2020/11/19'],[ 6 10 13 16 27],"[25, 31, 4, 28, 13, 1, 24, 3, 2, 39]",1,{13}
['2020/11/20'],[ 6 11 27 37 38],"[22, 33, 11, 17, 34, 8, 4, 30, 15, 38]",2,"{11, 38}"
['2020/11/21'],[ 8 11 13 14 26],"[22, 16, 37, 3, 39, 24, 5, 31, 34, 28]",0,
['2020/11/23'],[ 2  4 13 23 28],"[20, 39, 25, 9, 24, 32, 8, 21, 7, 27]",0,
['2020/11/24'],[ 4  8 17 18 26],"[23, 15, 14, 8, 36, 4, 33, 22, 12, 35]",2,"{8, 4}"
['2020/11/25'],[ 6 16 25 28 36],"[2, 21, 39, 19, 26, 3, 15, 18, 16, 27]",1,{16}
['2020/11/26'],[12 17 21 28 35],"[12, 2, 11, 28, 33, 6, 24, 37, 27, 3]",2,"{12, 28}"
['2020/11/27'],[15 24 25 26 32],"[38, 18, 15, 13, 34, 2, 16, 6, 24, 22]",2,"{24, 15}"
['2020/11/28'],[ 1  2  4 17 20],"[17, 30, 10, 25, 36, 12, 31, 35, 33, 5]",1,{17}
['2020/11/30'],[ 9 17 25 28 36],"[31, 8, 26, 5, 27, 37, 38, 6, 18, 13]",0,
['2020/12/1'],[ 1 11 19 26 32],"[8, 19, 10, 11, 26, 32, 9, 22, 33, 5]",4,"{32, 19, 26, 11}"
['2020/12/2'],[ 3 10 16 24 37],"[16, 22, 30, 17, 21, 9, 20, 19, 13, 28]",1,{16}
['2020/12/3'],[ 1  3 19 20 37],"[23, 20, 25, 12, 14, 10, 27, 29, 31, 7]",1,{20}
['2020/12/4'],[ 2  7 22 31 37],"[39, 6, 20, 12, 22, 19, 8, 9, 16, 31]",2,"{22, 31}"
['2020/12/5'],[ 8 18 20 29 35],"[34, 30, 21, 2, 31, 20, 12, 6, 4, 19]",1,{20}
['2020/12/7'],[ 9 12 22 30 35],"[18, 39, 26, 28, 8, 36, 34, 27, 1, 32]",0,
['2020/12/8'],[ 1 21 24 28 34],"[37, 17, 4, 30, 14, 2, 13, 15, 19, 38]",0,
['2020/12/9'],[12 13 15 28 33],"[35, 39, 30, 21, 23, 1, 13, 36, 33, 31]",2,"{33, 13}"
['2020/12/10'],[ 6 10 11 26 27],"[18, 1, 26, 30, 31, 14, 33, 13, 27, 9]",2,"{26, 27}"
['2020/12/11'],[ 5  6 12 19 33],"[38, 36, 12, 3, 8, 6, 39, 10, 22, 24]",2,"{12, 6}"
['2020/12/12'],[ 8 14 15 24 27],"[30, 7, 25, 38, 4, 17, 13, 27, 12, 28]",1,{27}
['2020/12/14'],[ 5 14 17 19 20],"[28, 32, 1, 35, 24, 15, 16, 37, 26, 12]",0,
['2020/12/15'],[ 1 11 23 25 35],"[33, 10, 39, 4, 5, 38, 36, 13, 24, 21]",0,
['2020/12/16'],[ 8 15 17 34 36],"[12, 24, 8, 22, 38, 2, 31, 34, 27, 17]",3,"{8, 17, 34}"
['2020/12/17'],[ 7 11 15 16 20],"[39, 18, 20, 17, 28, 36, 12, 6, 2, 13]",1,{20}
['2020/12/18'],[ 2 12 15 22 35],"[12, 34, 5, 21, 3, 33, 32, 18, 4, 8]",1,{12}
['2020/12/19'],[ 9 14 18 29 36],"[21, 31, 23, 10, 15, 36, 28, 19, 22, 32]",1,{36}
['2020/12/21'],[ 2  8 15 17 24],"[14, 25, 38, 24, 4, 8, 12, 28, 1, 34]",2,"{8, 24}"
['2020/12/22'],[ 2 15 23 29 38],"[31, 14, 39, 8, 6, 5, 35, 24, 4, 1]",0,
['2020/12/23'],[ 7 24 28 32 38],"[31, 7, 1, 35, 20, 2, 32, 13, 21, 8]",2,"{32, 7}"
['2020/12/24'],[ 1 19 23 30 36],"[23, 27, 17, 7, 19, 14, 28, 34, 4, 5]",2,"{19, 23}"
['2020/12/25'],[ 1  5 19 32 37],"[15, 13, 18, 25, 19, 37, 38, 7, 2, 35]",2,"{19, 37}"
['2020/12/26'],[ 5  9 15 20 24],"[17, 37, 35, 18, 13, 2, 25, 27, 39, 29]",0,
['2020/12/28'],[11 15 25 32 35],"[19, 16, 14, 30, 7, 3, 38, 2, 11, 22]",1,{11}
['2020/12/29'],[ 9 16 21 28 38],"[39, 27, 26, 7, 14, 9, 35, 1, 33, 38]",2,"{9, 38}"
['2020/12/30'],[ 3  5 21 34 36],"[34, 3, 5, 27, 1, 17, 20, 32, 10, 19]",3,"{34, 3, 5}"
['2020/12/31'],[ 1 10 14 20 34],"[13, 39, 32, 1, 36, 30, 9, 27, 17, 24]",1,{1}
['2021/1/1'],[18 24 26 35 37],"[9, 11, 17, 34, 25, 4, 27, 28, 1, 5]",0,
['2021/1/2'],[ 4  6 11 17 34],"[18, 16, 5, 14, 20, 8, 13, 29, 39, 12]",0,
['2021/1/4'],[ 2  3 16 22 32],"[3, 22, 16, 1, 21, 24, 36, 17, 12, 39]",3,"{16, 3, 22}"
['2021/1/5'],[ 1 11 20 28 36],"[12, 38, 30, 10, 14, 34, 26, 15, 37, 5]",0,
['2021/1/6'],[10 12 29 32 36],"[5, 4, 31, 13, 15, 32, 1, 25, 6, 20]",1,{32}
['2021/1/7'],[ 7 13 22 23 30],"[13, 30, 39, 38, 24, 6, 19, 34, 8, 14]",2,"{13, 30}"
['2021/1/8'],[ 9 13 26 34 36],"[37, 1, 14, 21, 6, 35, 23, 31, 13, 20]",1,{13}
['2021/1/9'],[10 13 24 36 37],"[17, 7, 28, 13, 11, 25, 5, 34, 35, 10]",2,"{10, 13}"
['2021/1/11'],[ 3  7 14 26 38],"[24, 3, 26, 29, 7, 4, 38, 35, 21, 37]",4,"{26, 3, 38, 7}"
['2021/1/12'],[ 9 11 19 36 39],"[24, 7, 15, 10, 8, 1, 11, 6, 2, 22]",1,{11}
['2021/1/13'],[ 6  9 17 24 38],"[38, 4, 13, 14, 23, 33, 21, 9, 26, 20]",2,"{9, 38}"
['2021/1/14'],[16 20 21 30 31],"[20, 34, 23, 21, 10, 18, 22, 24, 12, 2]",2,"{20, 21}"
['2021/1/15'],[ 6  8 16 19 23],"[33, 14, 4, 27, 5, 36, 9, 22, 26, 39]",0,
['2021/1/16'],[ 3 10 23 26 37],"[28, 31, 3, 17, 5, 6, 11, 18, 24, 19]",1,{3}
['2021/1/18'],[ 1  3 16 17 39],"[22, 3, 6, 21, 18, 36, 35, 31, 28, 8]",1,{3}
['2021/1/19'],[ 5  9 16 21 35],"[23, 4, 33, 34, 9, 21, 15, 31, 8, 25]",2,"{9, 21}"
['2021/1/20'],[ 3 10 11 13 19],"[18, 15, 32, 12, 29, 4, 28, 9, 5, 26]",0,
['2021/1/21'],[ 1  6  7 21 23],"[10, 32, 18, 14, 31, 1, 33, 15, 29, 13]",1,{1}
['2021/1/22'],[15 17 19 28 29],"[16, 19, 28, 34, 27, 21, 26, 15, 31, 9]",3,"{19, 28, 15}"
['2021/1/23'],[23 26 34 35 36],"[33, 32, 11, 25, 8, 3, 1, 21, 22, 23]",1,{23}
['2021/1/25'],[13 16 23 37 39],"[38, 30, 15, 8, 35, 2, 20, 6, 39, 13]",2,"{13, 39}"
['2021/1/26'],[12 20 23 31 37],"[34, 36, 17, 35, 12, 29, 11, 28, 2, 39]",1,{12}
['2021/1/27'],[ 1  2 17 18 35],"[21, 29, 1, 22, 15, 5, 37, 9, 35, 7]",2,"{1, 35}"
['2021/1/28'],[14 16 20 30 37],"[26, 21, 20, 38, 39, 15, 1, 10, 12, 33]",1,{20}
['2021/1/29'],[16 20 21 22 26],"[19, 10, 12, 7, 2, 14, 36, 16, 5, 1]",1,{16}
['2021/1/30'],[ 5 13 23 26 27],"[31, 12, 38, 19, 5, 14, 36, 15, 32, 37]",1,{5}
['2021/2/1'],[ 6 12 17 28 36],"[34, 23, 38, 29, 6, 10, 8, 31, 39, 36]",2,"{36, 6}"
['2021/2/2'],[ 4 24 25 34 37],"[27, 2, 31, 11, 35, 10, 23, 5, 28, 12]",0,
['2021/2/3'],[ 1  5 12 18 30],"[6, 17, 1, 13, 21, 14, 7, 24, 2, 37]",1,{1}
['2021/2/4'],[ 1  5 12 15 26],"[21, 4, 20, 2, 19, 35, 26, 11, 31, 32]",1,{26}
['2021/2/5'],[20 23 26 27 38],"[19, 33, 9, 4, 28, 38, 6, 24, 16, 20]",2,"{20, 38}"
['2021/2/6'],[ 3  7 14 20 34],"[21, 38, 4, 29, 9, 18, 1, 16, 13, 3]",1,{3}
['2021/2/8'],[ 1  2 20 23 26],"[24, 9, 30, 34, 33, 1, 19, 28, 38, 27]",1,{1}
['2021/2/9'],[ 3 12 14 18 34],"[38, 17, 26, 21, 19, 33, 2, 29, 3, 37]",1,{3}
['2021/2/10'],[16 18 23 32 38],"[4, 30, 32, 2, 31, 14, 38, 35, 34, 33]",2,"{32, 38}"
['2021/2/11'],[ 1  8  9 17 22],"[25, 33, 21, 37, 35, 15, 3, 27, 18, 17]",1,{17}
['2021/2/12'],[ 3 13 20 27 28],"[1, 4, 35, 23, 10, 9, 30, 16, 14, 39]",0,
['2021/2/13'],[ 5 18 21 22 27],"[39, 19, 28, 33, 29, 9, 5, 1, 16, 36]",1,{5}
['2021/2/15'],[ 6  7 19 20 26],"[7, 9, 6, 13, 26, 16, 14, 30, 33, 3]",3,"{26, 6, 7}"
['2021/2/16'],[10 19 22 24 26],"[11, 31, 37, 39, 18, 35, 22, 32, 7, 20]",1,{22}
['2021/2/17'],[ 1 17 20 27 30],"[25, 35, 21, 9, 6, 32, 8, 7, 39, 23]",0,
['2021/2/18'],[ 1 14 19 27 28],"[35, 5, 31, 38, 1, 6, 8, 7, 15, 4]",1,{1}
['2021/2/19'],[ 9 19 35 37 38],"[15, 38, 12, 28, 21, 32, 24, 27, 35, 10]",2,"{35, 38}"
['2021/2/20'],[ 5  8 10 23 30],"[9, 33, 31, 22, 27, 28, 18, 38, 32, 7]",0,
['2021/2/22'],[ 4 16 21 32 33],"[35, 36, 29, 30, 34, 18, 23, 4, 33, 38]",2,"{33, 4}"
['2021/2/23'],[ 1  7 26 29 34],"[28, 9, 20, 36, 33, 13, 4, 32, 18, 31]",0,
['2021/2/24'],[ 6 14 19 24 37],"[17, 35, 15, 21, 12, 13, 23, 11, 20, 38]",0,
['2021/2/25'],[ 9 10 14 22 38],"[24, 11, 21, 6, 15, 28, 32, 16, 37, 17]",0,
['2021/2/26'],[ 1  8  9 18 27],"[3, 31, 2, 13, 24, 35, 20, 25, 7, 16]",0,
['2021/2/27'],[21 25 27 32 39],"[21, 10, 23, 7, 25, 18, 5, 22, 8, 4]",2,"{25, 21}"
['2021/3/1'],[13 32 34 36 38],"[15, 18, 19, 38, 39, 21, 9, 11, 5, 23]",1,{38}
['2021/3/2'],[ 5 10 23 25 39],"[1, 14, 23, 26, 37, 22, 27, 9, 18, 31]",1,{23}
['2021/3/3'],[ 5 10 15 16 21],"[39, 1, 33, 36, 8, 24, 34, 22, 21, 10]",2,"{10, 21}"
['2021/3/4'],[ 7 10 16 19 24],"[31, 36, 4, 37, 27, 35, 26, 32, 11, 38]",0,
['2021/3/5'],[ 4  6 31 36 37],"[25, 17, 33, 34, 32, 8, 10, 23, 4, 35]",1,{4}
['2021/3/6'],[ 5 10 11 12 26],"[11, 17, 15, 7, 9, 39, 33, 12, 1, 14]",2,"{11, 12}"
['2021/3/8'],[13 17 18 24 28],"[24, 39, 36, 33, 17, 32, 6, 31, 34, 1]",2,"{24, 17}"
['2021/3/9'],[ 1  4 11 23 32],"[28, 25, 22, 36, 11, 6, 19, 2, 21, 13]",1,{11}
['2021/3/10'],[ 1  5 19 22 26],"[7, 14, 6, 3, 12, 18, 22, 13, 35, 31]",1,{22}
['2021/3/11'],[ 4  9 13 27 28],"[27, 34, 12, 19, 30, 2, 13, 38, 9, 22]",3,"{9, 27, 13}"
['2021/3/12'],[ 7 25 33 35 37],"[23, 5, 7, 37, 25, 38, 33, 35, 31, 16]",5,"{33, 35, 37, 7, 25}"
['2021/3/13'],[21 31 32 35 36],"[6, 19, 36, 5, 10, 2, 25, 32, 30, 13]",2,"{32, 36}"
['2021/3/15'],[ 7 11 13 25 39],"[6, 24, 20, 36, 8, 14, 19, 12, 17, 31]",0,
['2021/3/16'],[ 3  8 14 18 32],"[37, 29, 9, 11, 38, 34, 24, 7, 23, 20]",0,
['2021/3/17'],[ 1  7 10 23 29],"[31, 4, 27, 6, 21, 5, 35, 39, 3, 18]",0,
['2021/3/18'],[11 21 30 32 38],"[8, 5, 3, 30, 31, 6, 27, 12, 36, 19]",1,{30}
['2021/3/19'],[ 4 10 17 27 36],"[28, 9, 22, 20, 5, 3, 37, 6, 34, 13]",0,
['2021/3/20'],[11 18 22 28 35],"[7, 39, 17, 4, 37, 32, 6, 34, 5, 31]",0,
['2021/3/22'],[ 1 11 17 29 34],"[36, 15, 10, 16, 3, 4, 21, 12, 11, 19]",1,{11}
['2021/3/23'],[10 14 19 20 35],"[36, 34, 37, 38, 21, 26, 14, 11, 20, 10]",3,"{10, 20, 14}"
['2021/3/24'],[ 3  8 13 23 26],"[12, 16, 14, 17, 28, 25, 38, 19, 36, 18]",0,
['2021/3/25'],[ 8 12 22 33 35],"[5, 31, 1, 35, 32, 4, 39, 34, 14, 29]",1,{35}
['2021/3/26'],[ 7  9 11 22 32],"[14, 22, 9, 5, 35, 30, 1, 31, 7, 3]",3,"{9, 22, 7}"
['2021/3/27'],[ 1  5 10 30 31],"[15, 8, 12, 11, 6, 21, 1, 35, 10, 37]",2,"{1, 10}"
['2021/3/29'],[10 12 15 32 35],"[14, 21, 39, 5, 8, 37, 30, 7, 24, 4]",0,
['2021/3/30'],[10 14 15 36 38],"[36, 20, 10, 35, 21, 22, 23, 31, 12, 37]",2,"{10, 36}"
['2021/3/31'],[10 12 23 34 38],"[13, 32, 26, 27, 12, 37, 35, 29, 17, 34]",2,"{34, 12}"
['2021/4/1'],[ 2  9 20 25 35],"[8, 30, 36, 37, 39, 22, 14, 35, 18, 17]",1,{35}
['2021/4/2'],[24 28 31 33 36],"[35, 28, 12, 15, 20, 11, 27, 5, 25, 23]",1,{28}
['2021/4/3'],[ 6  8 12 23 25],"[32, 34, 30, 23, 10, 24, 25, 27, 19, 28]",2,"{25, 23}"
['2021/4/5'],[ 1 17 25 36 38],"[13, 12, 10, 38, 39, 8, 20, 23, 32, 26]",1,{38}
['2021/4/6'],[10 12 17 29 35],"[10, 7, 27, 33, 25, 13, 37, 20, 29, 36]",2,"{10, 29}"
['2021/4/7'],[ 1 10 24 35 38],"[20, 14, 25, 15, 32, 36, 1, 9, 37, 12]",1,{1}
['2021/4/8'],[ 2  7  9 29 35],"[4, 9, 31, 14, 2, 22, 17, 10, 27, 15]",2,"{9, 2}"
['2021/4/9'],[ 6 16 20 25 34],"[28, 7, 16, 1, 13, 8, 6, 25, 11, 27]",3,"{16, 25, 6}"
['2021/4/10'],[ 2  4 18 20 34],"[28, 5, 15, 20, 27, 39, 9, 30, 26, 14]",1,{20}
['2021/4/12'],[17 22 34 37 39],"[2, 5, 4, 19, 38, 39, 18, 23, 37, 16]",2,"{37, 39}"
['2021/4/13'],[ 6 11 13 22 23],"[7, 31, 13, 18, 26, 17, 6, 19, 33, 5]",2,"{13, 6}"
['2021/4/14'],[ 3  8 12 20 33],"[3, 12, 2, 27, 8, 1, 18, 37, 20, 9]",4,"{8, 3, 12, 20}"
['2021/4/15'],[ 6  7 17 25 37],"[10, 14, 32, 29, 20, 25, 37, 6, 23, 15]",3,"{25, 37, 6}"
['2021/4/16'],[ 2  7 21 22 28],"[35, 7, 10, 38, 20, 37, 1, 13, 15, 21]",2,"{21, 7}"
['2021/4/17'],[ 7  8 23 25 31],"[12, 9, 2, 19, 17, 33, 11, 23, 35, 1]",1,{23}
['2021/4/19'],[ 1  4  9 29 39],"[16, 12, 2, 7, 17, 4, 23, 24, 28, 26]",1,{4}
['2021/4/20'],[16 20 23 24 35],"[17, 22, 24, 13, 8, 31, 39, 35, 20, 25]",3,"{24, 35, 20}"
['2021/4/21'],[ 4 19 29 37 39],"[38, 35, 21, 3, 4, 29, 13, 20, 10, 30]",2,"{4, 29}"
['2021/4/22'],[ 5  7  8 25 26],"[35, 1, 26, 12, 34, 20, 23, 39, 27, 14]",1,{26}
['2021/4/23'],[ 2  8 16 22 28],"[6, 2, 13, 26, 9, 15, 8, 11, 21, 36]",2,"{8, 2}"
['2021/4/24'],[ 5  6 10 11 13],"[3, 34, 36, 4, 19, 29, 32, 12, 1, 5]",1,{5}
['2021/4/26'],[ 1  5 16 17 21],"[31, 1, 11, 10, 2, 19, 27, 18, 38, 7]",1,{1}
['2021/4/27'],[12 22 24 31 35],"[6, 14, 24, 21, 1, 27, 38, 20, 17, 36]",1,{24}
['2021/4/28'],[ 7 12 16 22 23],"[21, 37, 22, 31, 23, 38, 29, 24, 9, 16]",3,"{16, 22, 23}"
['2021/4/29'],[ 8 10 23 32 35],"[18, 12, 3, 10, 15, 35, 21, 14, 25, 5]",2,"{10, 35}"
['2021/4/30'],[ 7 17 21 32 35],"[6, 2, 16, 29, 31, 37, 36, 13, 8, 14]",0,
['2021/5/1'],[12 13 19 20 31],"[30, 34, 9, 33, 31, 8, 12, 7, 3, 11]",2,"{12, 31}"
['2021/5/3'],[ 4 13 15 29 32],"[25, 1, 32, 23, 7, 39, 4, 28, 26, 12]",2,"{32, 4}"
['2021/5/4'],[20 21 23 36 39],"[32, 24, 37, 11, 21, 33, 7, 26, 25, 39]",2,"{21, 39}"
['2021/5/5'],[ 8 19 27 29 39],"[32, 33, 25, 24, 13, 28, 5, 35, 37, 34]",0,
['2021/5/6'],[ 3  7 13 21 22],"[7, 9, 8, 38, 12, 33, 13, 11, 6, 20]",2,"{13, 7}"
['2021/5/7'],[ 6  7  8 17 33],"[10, 25, 17, 35, 14, 32, 3, 33, 15, 34]",2,"{33, 17}"
['2021/5/8'],[19 23 26 31 34],"[38, 14, 7, 22, 5, 39, 26, 35, 24, 32]",1,{26}
['2021/5/10'],[14 15 17 28 37],"[29, 5, 14, 38, 4, 31, 20, 34, 13, 35]",1,{14}
['2021/5/11'],[11 15 17 31 36],"[23, 32, 31, 21, 25, 24, 35, 27, 3, 15]",2,"{31, 15}"
['2021/5/12'],[ 8 14 17 21 30],"[27, 1, 8, 30, 22, 28, 7, 5, 36, 15]",2,"{8, 30}"
['2021/5/13'],[13 16 17 25 37],"[29, 5, 15, 4, 20, 14, 31, 22, 32, 17]",1,{17}
['2021/5/14'],[10 28 29 31 36],"[6, 11, 26, 1, 3, 5, 19, 27, 23, 22]",0,
['2021/5/15'],[ 2  7 28 31 39],"[7, 34, 28, 10, 30, 1, 27, 3, 39, 25]",3,"{7, 28, 39}"
['2021/5/17'],[ 3 15 27 33 36],"[4, 21, 29, 26, 37, 9, 18, 8, 11, 31]",0,
['2021/5/18'],[ 9 12 18 27 37],"[29, 34, 31, 30, 35, 10, 22, 5, 16, 7]",0,
['2021/5/19'],[ 5  8 17 27 36],"[16, 27, 37, 39, 9, 7, 5, 12, 22, 13]",2,"{27, 5}"
['2021/5/20'],[13 30 31 35 37],"[11, 39, 18, 10, 23, 17, 36, 27, 14, 30]",1,{30}
['2021/5/21'],[ 4  9 33 34 38],"[10, 27, 38, 1, 24, 30, 23, 16, 22, 15]",1,{38}
['2021/5/22'],[ 6 14 22 23 31],"[6, 4, 16, 33, 1, 24, 35, 9, 30, 31]",2,"{6, 31}"
['2021/5/24'],[12 14 23 24 36],"[20, 31, 9, 10, 39, 32, 19, 4, 29, 24]",1,{24}
['2021/5/25'],[ 3 14 25 33 37],"[17, 31, 27, 19, 37, 21, 23, 3, 22, 25]",3,"{25, 3, 37}"
['2021/5/26'],[ 6  7 30 32 36],"[17, 5, 36, 23, 3, 39, 7, 38, 4, 1]",2,"{36, 7}"
['2021/5/27'],[21 24 26 29 32],"[14, 5, 39, 12, 16, 7, 33, 3, 17, 22]",0,
['2021/5/28'],[23 24 32 35 38],"[17, 14, 8, 19, 13, 29, 1, 10, 5, 39]",0,
['2021/5/29'],[ 1 11 19 27 38],"[1, 2, 28, 34, 6, 17, 36, 4, 3, 16]",1,{1}
['2021/5/31'],[18 23 31 32 35],"[7, 28, 23, 9, 18, 15, 27, 14, 31, 39]",3,"{18, 31, 23}"
['2021/6/1'],[ 4  6 30 32 35],"[32, 10, 27, 9, 39, 30, 5, 6, 24, 14]",3,"{32, 6, 30}"
['2021/6/2'],[ 4 19 29 33 37],"[23, 18, 38, 10, 17, 12, 34, 7, 28, 11]",0,
['2021/6/3'],[ 1 11 14 29 36],"[6, 17, 8, 33, 35, 31, 30, 18, 29, 1]",2,"{1, 29}"
['2021/6/4'],[ 6 12 13 15 39],"[31, 26, 23, 25, 24, 21, 9, 38, 4, 33]",0,
['2021/6/5'],[ 1  3 10 17 24],"[28, 23, 13, 20, 2, 17, 12, 25, 7, 32]",1,{17}
['2021/6/7'],[ 6 12 15 20 39],"[32, 11, 19, 39, 36, 24, 25, 20, 9, 23]",2,"{20, 39}"
['2021/6/8'],[ 3  8 19 22 38],"[36, 17, 27, 5, 32, 38, 37, 11, 18, 35]",1,{38}
['2021/6/9'],[ 3  5  7 11 16],"[27, 38, 2, 39, 24, 25, 14, 20, 1, 9]",0,
['2021/6/10'],[ 1 13 14 22 33],"[37, 14, 33, 34, 36, 4, 1, 27, 22, 10]",4,"{1, 22, 14, 33}"
['2021/6/11'],[ 3 18 22 27 33],"[21, 22, 37, 39, 20, 15, 1, 4, 30, 25]",1,{22}
['2021/6/12'],[ 3  4 13 17 25],"[37, 32, 4, 18, 36, 35, 34, 17, 8, 25]",3,"{17, 4, 25}"
